,url,restaurant_name,biz_id,restaurant_address,country,restaurant_area,longitude,latitude,listed_category,overall_review,username,user_location,friend_count,review_count,user_overall_rating,review_date,user_review
0,https://www.yelp.com/biz/85-Bedok-North-Fried-Oyster-Singapore,85 Bedok North Fried Oyster,y2x0F-6EeqByfqxlLc0GWg,"85 Bedok North Rd, Singapore", Singapore,"Bedok North, Simei",103.9389523,1.331903,"Chinese, Asian Fusion",1 review,David O.,"Perth, Australia",104,53,5,19/1/2016,"Once or if we're lucky, twice every year we get to fly to the Food Paradise that is Singapore. This is one of our ""go to"" food centres when we're in Singapore.Usually the tell-tale sign of a good dish or chef is the lines out the front but I think some people just enjoy lining up for food at times in Singapore without their being any substance behind the food for my tastes.Another gauge is that there's photos of celebrities, certificate of awards and merit and newspaper clippings adorning the stalls sign or posted at every convenience but it seems to be becoming more and more popular amongst stalls and not always a denominator of quality and this was one of those places that didn't have any such advertisements but the quality was definitely there.Char Kway Teow is a wok fried dish and usually is served with some sort of seafood and can vary from having an array of prawns, to squid and cockles (a type of shell fish) with flat rice noodles which are all cooked at an extremely high heat. The skill of the chef is always evident in how they can infuse the ""Wok Hei"" aka wok's breath or flavour of the wok into their fare and balance that with all the other flavours going on in a very complex flavoured dish.The flavours balanced very well and the Wok Hei was more prominent than most hawkers, it was beautifully crafted and as much as the Wok Hei is important to the overall flavour of the dish, the little bits of pork lard are a signature too and an absolute must which there was plenty of. If you like it a little spicy, ask for chilli when ordering.We also always order their Oluak aka Oyster Omelette which has a mix of just cooked oysters in a omelette with garlic and chives which is dipped in chilli sauce. Although I do enjoy the version of Oluak here, there is a place that does it with an extremely crispy finish, that's hard to go past. We never miss ordering it though, as I'm a sucker for a good Oluak and it goes great with the Kway Teow.It may take a little time to fine a seat at the Bedok Block 85 North complex where the food hall is situated but there is plenty to choose from whilst there and it's worth the wait. The chicken wings from the store next door are good, as is the two stalls around the corner that sit side by side to each other that serve Bak Chor Mee aka pork noodles. Just check out my other posts at Bedok Block 85 North for more information on the food available in the same complex.Overall I think it was an excellent example of Char Kway Teow and it's getting more and more difficult to find really good ones in Singapore. For me if it hasn't got Wok Hei, it makes the difference between good and impressive and on this occasion there was plenty to wrap my mouth around and we will definitely be back.Cheers!Dave."
1,https://www.yelp.com/biz/A-Noodle-Story-Singapore,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,"7 Maxwell Rd, Singapore 069111", Singapore,Tanjong Pagar,103.8468933,1.279114317,"Food Stands, Ramen, Singaporean",14 reviews,Anelya S.,"San Francisco, CA",475,733,5,2/8/2017,"50 minute wait. We got into the line at 12:22 and got our food at 10 minutes past one. If you have that kind of time this place worth the visit. We got two small bowls of Singaporean style ramen and we both enjoyed it a lot!The noodles, the broth, all the dressings were phenomenal.  The slow cooked egg was silky and creamy. Chirashi pork was delish! My boyfriend wants to come back here again after the rush hour, as you can see the line getting significantly shorter after 1:30pm. And they are open till 7:30Also since it was hard for me to find the food center I bookmarked Gayatri Restaurant, the place right outside of it, so it's easy to find it next time. The hawker center is two stories, and the Noodles are in the ground level.$7 SGD per small bowl of ramen. I think it's worth it."
2,https://www.yelp.com/biz/A-Noodle-Story-Singapore,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,"7 Maxwell Rd, Singapore 069111", Singapore,Tanjong Pagar,103.8468933,1.279114317,"Food Stands, Ramen, Singaporean",14 reviews,Halle H.,"Washington, DC",321,35,4,15/7/2018,"The noodles definitely achieve the shop's goal of serving ""gourmet noodles at hawker prices."" The flavors in the dish are extremely fresh and the broth is very well-seasoned. 4 stars just because the service - while trying to operate most efficiently in a small space - can be a bit awkward, as you're prompted to state your order while still halfway down the line, at a point when you can't actually read the menu, so it's tough to decide any additions / modifications you may want to make to the order other than the size of the portion. Although the wait is not nearly as bad as other reviews make it out to be - once I had located the stall, I maybe waited 20 mins in total between joining the line and receiving my food at 12:30pm, peak lunch hour."
3,https://www.yelp.com/biz/A-Noodle-Story-Singapore,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,"7 Maxwell Rd, Singapore 069111", Singapore,Tanjong Pagar,103.8468933,1.279114317,"Food Stands, Ramen, Singaporean",14 reviews,Mark E.,"London, United Kingdom",107,42,4,31/1/2018,"This Singaporean take on ramen is special. Each ingredient - the egg, beef, wonton, etc - is delicately and carefully prepared, and assembled into one delicious bowl. Queue nowhere near as bad as people here have suggested (30~ minutes at 1220 on a Thursday) for a (by hawker standards pricey) $9 bowl of ramen."
4,https://www.yelp.com/biz/A-Noodle-Story-Singapore,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,"7 Maxwell Rd, Singapore 069111", Singapore,Tanjong Pagar,103.8468933,1.279114317,"Food Stands, Ramen, Singaporean",14 reviews,Stephanie C.,"Beverly, MA",46,148,4,28/8/2017,"I was intrigued when I heard that there's a Singapore-style Ramen. My friend, who lives there brought me here when I visited last July. For me, this Ramen tasted like your typical wonton noodles with a lot of add-ons. Aside from wontons, they added a runny egg, potato crisp covered prawn and char siu. I like how they thought about making this bowl of noodles in a typical hawker set-up. Overall, I would say it's worth a try!"
5,https://www.yelp.com/biz/A-Noodle-Story-Singapore,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,"7 Maxwell Rd, Singapore 069111", Singapore,Tanjong Pagar,103.8468933,1.279114317,"Food Stands, Ramen, Singaporean",14 reviews,Tiffany D.,"Indianapolis, IN",76,99,5,25/6/2017,"Yum yum yum! What a great way to take in the people watching experience that is Hawker Center by diving into this delicious experience. I love the take on the Ramen, this is more my style than the traditional Ramen so I can see why authentic Ramen lovers may not be as thrilled about this remix as others. The ingredients were so good and the experience in general made it one of my favorite places in Singapore!"
6,https://www.yelp.com/biz/A-Noodle-Story-Singapore,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,"7 Maxwell Rd, Singapore 069111", Singapore,Tanjong Pagar,103.8468933,1.279114317,"Food Stands, Ramen, Singaporean",14 reviews,Vy T.,"Orange County, CA",1353,1075,5,2/6/2016,"I will never look at ramen the same again...Singaporean style ramen, is how they describe this spot. It's located on the bottom floor of the Amoy hawker stand. I came right when they opened, because I knew there'd be a long line. Around lunch time, this place is packed with business people on their lunch break. They have three sizes and I went with the medium. Get the chili!! Once you get your bowl, mix it all up! Their cha-su is probably the best I've ever had!! Their HK style wontons were beyond amazing! Their crispy wrapped prawn was nice and crunchy! And their egg cooked to perfection! I've never anything so good and it's a must stop if you're in Singapore!!"
7,https://www.yelp.com/biz/A-Noodle-Story-Singapore,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,"7 Maxwell Rd, Singapore 069111", Singapore,Tanjong Pagar,103.8468933,1.279114317,"Food Stands, Ramen, Singaporean",14 reviews,Sylvia K.,"Seattle, WA",269,1014,5,5/9/2015,"Singaporean-style ramen? Yes, please! Came to the Amoy Street Food Centre with a mission to eat at Noodle Story. It's on the first floor and has a really nice sign and exterior. And a long line of people waiting for food, which is a good sign. I waited like 20-25 minutes to order. There's just one thing, the noodles, but you can get small, medium, or large. And you can add on extra sides (like an extra egg or more HK style wontons). The lady behind me said that the larger sizes just come with more noodles. After I placed my order for a small bowl, the light for the sign went out. The lady behind me said that that meant they ran out of stuff! I had such good timing! The noodles were SO delicious! No broth. Noodles were amazing. The hard-boiled egg was cooked perfectly. The potato wrapped shrimp was super tasty. And the wontons and chashu pork were yummy! A perfect 10. My noodles also came with a soup. Totally worth the wait!!!"
8,https://www.yelp.com/biz/A-Noodle-Story-Singapore,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,"7 Maxwell Rd, Singapore 069111", Singapore,Tanjong Pagar,103.8468933,1.279114317,"Food Stands, Ramen, Singaporean",14 reviews,Gavin K.,"New York, NY",0,62,4,7/10/2017,Our last day in town and we got there around 2pm and they were sold out as we were in line.  The young owner explained that they ran out of a few toppings.  We said we didn't care and we would be happy if he can give us what he has left.  The noodle was fine but the chef owner was so kind that the experience was a good one.  We took pictures with the chef and got our noodle story as the last customer that day.
9,https://www.yelp.com/biz/A-Noodle-Story-Singapore,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,"7 Maxwell Rd, Singapore 069111", Singapore,Tanjong Pagar,103.8468933,1.279114317,"Food Stands, Ramen, Singaporean",14 reviews,Nate N.,"Singapore, Singapore",5,19,3,27/10/2016,"Visited this shop approximately a month ago. Came with a high expectation amid the fanfare generated by the Michelin announcement, and the plethora of cool pictures on Instagram.Ordered the jumbo plate and it was.... okay. Many people loved its concept of a Singapore-style ramen, but it was fusion-confusion for me. Personally, I found it pretty weird to be eating a wanton (Chinese dish) immediately after a cha-shu (Japanese dish), In entirety, the taste profiles of the ingredients just did not blend elegantly enough. In addition, I found the noodles too cluttered in a lump, making it tough to eat. Finally, the chilli looked cool, but tasted pretty dry.Nonetheless, I was deeply impressed by the quality of the ingredients, and that the owners decided not to cut corners despite the price point and hawker-food positioning. The potato wrapped prawn was also pretty incredible - crunchy and tasty. And yes, the bowl of noodle was full of cool ingredients that would make it very much Instagram-worthy.Does it deserve a Bib Gourmand? Probably not for me, although the owners are still pretty young and will only go up from there. I applaud their audacity to sort of reinvent the wheel, and I look forward to trying their dish again in a year."
